ゼミ名,PM名,ゼミのゴール,PMの役割,ふくさん（全ゼミ横断）,所さん（全ゼミ横断）,時音くん（特定ゼミ集中）
マネタイズゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,メイン（動画マネタイズ需要が高い）
AI開発ゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
SNS運用代行ゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
デザインゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
AIエージェントゼミ（Claude code編）,,,,寄り添い・伴走・承認,技術・作業会・質問会,
AI漫画ゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,サブ（漫画→アニメーション化）
AIアートゼミ（HakushiのAIアートラボ）,,,,寄り添い・伴走・承認,技術・作業会・質問会,
業務AI化実践ゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
仕事開拓ゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
AI人材力飛躍ゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
売れる商品づくりゼミ,,,,寄り添い・伴走・承認,技術・作業会・質問会,
