WBS番号,ライン,ゼミ名,役割,親ゼミ/前提,次の誘導先,対象レベル,頻度,ジャーニーフェーズ,状態の変化,目的,受講後ゴール,拾う感情,変換先,備考
1.1,マネタイズ系,マネタイズゼミ（概念・土台）,入口,-,ライターゼミ / 売れる商品ゼミ / クリエイティブ系,初心者〜中級者,月2,導入,AIを使う→AIを使いこなす,「なぜやるか」を見つける土台作り,方向性が決まり専門ゼミに進める,漠然と不安 / 何していいか分からない / お金払ったけど回収できるの？,なんかいけそう / なぜやるかが分かった,
1.2,マネタイズ系,ライターゼミ,深掘り,マネタイズゼミ,仕事開拓ゼミ,中級〜,月2,深化,AIを使いこなす→目的に合わせてAIを使う,ライティングスキルでマネタイズ手段を確立,手段でライターキャリアUP,やるぞ / でもどうやって,頑張ろう（しんどくてもやる）→実績が出始める,ライティング系
1.3,マネタイズ系,売れる商品ゼミ,深掘り,マネタイズゼミ,仕事開拓ゼミ,中級〜,月1,深化,AIを使いこなす→目的に合わせてAIを使う,自分の商品を作って売る力をつける,自分の商品が作れる,自分の商品作りたい,頑張ろう（しんどくてもやる）→実績が出始める,商品販売系
1.4,マネタイズ系,クリエイティブ系（漫画・アート・デザイン）,深掘り,マネタイズゼミ,仕事開拓ゼミ,,月1,深化,AIを使いこなす→目的に合わせてAIを使う,表現力を活かした創作活動,作りたいものが形にできる,作りたい / 表現したい,頑張ろう（しんどくてもやる）→実績が出始める,クリエイティブ系
1.5,マネタイズ系,SNS運営代行ゼミ,-,-,-,,,,,,,,,終了予定
2.1,技術・業務改善ライン,AIエージェントゼミ（ハブ）,ハブ,-,AI開発ゼミ / 業務AI化実践ゼミ,,月1〜2,導入〜深化,AIを使う→AIを使いこなす,AIエージェントの構築・運用の基礎を作る,自分でエージェントを構築・運用できる,エージェント使いたいけど何から？ / CLIって何？,自分で構築・運用できる,Claude code編
2.2,技術・業務改善ライン,AI開発ゼミ,深掘り,AIエージェントゼミ,仕事開拓ゼミ,中級〜,月2,深化,AIを使いこなす→目的に合わせてAIを使う,コードを読み・書き・直せるようになる,コードが読める / 直せる,コード分からん,読める / 直せる,
2.3,技術・業務改善ライン,業務AI化実践ゼミ,深掘り,AIエージェントゼミ,仕事開拓ゼミ,中級,月1,深化,AIを使いこなす→目的に合わせてAIを使う,業務をAIで自動化する方法を身につける,GASで業務自動化できた,業務改善したいけど方法不明,GASで自動化できた,
3.1,人・案件化ライン,仕事開拓ゼミ,横断,各深掘り系ゼミ,-,横断,月2,深化〜活用,目的に合わせてAIを使う→AIで人生に+を与える,スキルを案件・仕事に結びつける,案件が取れた / 継続できてる,スキルあるけど仕事にならない,案件が取れた / 継続できてる,
3.2,人・案件化ライン,AI人材力飛躍ゼミ,横断,-,-,,月1,深化〜活用,目的に合わせてAIを使う→AIで人生に+を与える,選ばれる人材になる,会えば仕事になる人,選ばれない / 何者でもない,会えば仕事になる人,仕事開拓ゼミと並走
